iter	Passed	Remaining
410	2836	31668
411	2839	31622
412	2846	31612
413	2850	31571
414	2852	31514
415	2857	31485
416	2870	31552
417	2886	31645
418	2894	31650
419	2895	31577
420	2899	31531
421	2903	31497
422	2907	31456
423	2908	31386
424	2914	31371
425	2918	31341
426	2923	31312
427	2928	31282
428	2932	31246
429	2934	31190
430	2938	31154
431	2943	31124
432	2952	31136
433	2956	31106
434	2965	31121
435	2971	31105
436	2976	31076
437	2982	31061
438	2985	31013
439	2988	30972
440	2991	30926
441	2994	30883
442	3009	30960
443	3010	30893
444	3014	30857
445	3017	30810
446	3020	30766
447	3023	30721
448	3028	30699
449	3032	30664
450	3033	30595
451	3035	30546
452	3044	30555
453	3047	30518
454	3052	30486
455	3054	30439
456	3064	30463
457	3067	30421
458	3071	30382
459	3071	30315
460	3073	30266
461	3077	30227
462	3080	30189
463	3084	30149
464	3098	30223
465	3108	30241
466	3116	30249
467	3129	30307
468	3136	30300
469	3142	30287
470	3147	30266
471	3151	30231
472	3154	30190
473	3167	30244
474	3170	30198
475	3173	30166
476	3182	30176
477	3189	30175
478	3197	30176
479	3200	30141
480	3204	30110
481	3210	30095
482	3217	30093
483	3223	30079
484	3227	30045
485	3230	30009
486	3234	29976
487	3237	29937
488	3243	29925
489	3253	29946
490	3261	29953
491	3277	30026
492	3290	30084
493	3291	30024
494	3297	30007
495	3307	30032
496	3311	30004
497	3317	29992
498	3323	29973
499	3335	30022
500	3342	30013
501	3349	30010
502	3352	29975
503	3357	29955
504	3362	29925
505	3371	29943
506	3374	29906
507	3381	29904
508	3386	29882
509	3389	29839
510	3392	29798
511	3399	29799
512	3406	29798
513	3411	29770
514	3414	29739
515	3418	29703
516	3420	29661
517	3423	29621
518	3433	29646
519	3444	29671
520	3447	29633
521	3451	29610
522	3458	29602
523	3462	29575
524	3466	29549
525	3478	29586
526	3486	29591
527	3497	29618
528	3503	29607
529	3508	29591
530	3515	29588
531	3522	29581
532	3526	29553
533	3530	29526
534	3533	29493
535	3538	29466
536	3546	29474
537	3550	29444
538	3554	29420
539	3563	29428
540	3567	29407
541	3570	29369
542	3573	29329
543	3576	29297
544	3579	29263
545	3583	29233
546	3584	29179
547	3588	29149
548	3596	29157
549	3601	29136
550	3608	29134
551	3612	29109
552	3631	29200
553	3634	29167
554	3637	29134
555	3641	29107
556	3652	29135
557	3665	29178
558	3670	29156
559	3676	29152
560	3687	29180
561	3695	29182
562	3697	29142
563	3710	29185
564	3724	29234
565	3726	29196
566	3729	29158
567	3736	29152
568	3741	29134
569	3753	29172
570	3757	29144
571	3760	29114
572	3764	29086
573	3770	29070
574	3776	29064
575	3786	29082
576	3789	29044
577	3795	29035
578	3800	29018
579	3807	29017
580	3814	29010
581	3815	28960
582	3824	28977
583	3836	29012
584	3841	28993
585	3849	28992
586	3852	28963
587	3856	28934
588	3862	28923
589	3866	28903
590	3873	28897
591	3877	28871
592	3881	28847
593	3886	28829
594	3894	28828
595	3897	28802
596	3901	28775
597	3911	28790
598	3913	28753
599	3914	28707
600	3922	28708
601	3929	28704
602	3934	28688
603	3941	28685
604	3945	28658
605	3948	28629
606	3951	28598
607	3952	28549
608	3956	28526
609	3959	28497
610	3967	28500
611	3972	28485
612	3975	28450
613	3979	28425
614	3983	28404
615	3987	28377
616	3991	28355
617	3999	28360
618	4002	28326
619	4005	28295
620	4007	28260
621	4010	28230
622	4020	28245
623	4054	28434
624	4066	28463
625	4070	28441
626	4072	28407
627	4075	28375
628	4082	28368
629	4087	28350
630	4095	28354
631	4099	28335
632	4103	28307
633	4114	28334
634	4121	28328
635	4128	28325
636	4132	28302
637	4134	28270
638	4138	28241
639	4140	28209
640	4148	28210
641	4151	28179
642	4157	28171
643	4162	28152
644	4164	28120
645	4167	28090
646	4172	28072
647	4179	28068
648	4185	28060
649	4188	28027
650	4190	27992
651	4192	27961
652	4195	27932
653	4199	27906
654	4206	27902
655	4208	27867
656	4227	27947
657	4231	27919
658	4233	27889
659	4240	27885
660	4250	27899
661	4263	27935
662	4270	27932
663	4286	27991
664	4314	28127
665	4319	28106
666	4322	28082
667	4331	28086
668	4335	28068
669	4339	28043
670	4343	28019
671	4348	28005
672	4361	28040
673	4365	28017
674	4375	28037
675	4384	28047
676	4388	28024
677	4396	28027
678	4401	28012
679	4408	28008
680	4411	27978
681	4412	27936
682	4423	27962
683	4427	27934
684	4432	27919
685	4435	27891
686	4440	27879
687	4450	27894
688	4454	27873
689	4460	27860
690	4464	27842
691	4470	27831
692	4485	27876
693	4496	27896
694	4500	27874
695	4503	27851
696	4507	27830
697	4513	27816
698	4516	27791
699	4525	27800
700	4530	27782
701	4534	27764
702	4537	27737
703	4544	27733
704	4551	27730
705	4555	27706
706	4561	27698
707	4564	27669
708	4569	27652
709	4578	27664
710	4583	27649
711	4590	27644
712	4593	27621
713	4597	27597
714	4601	27574
715	4605	27554
716	4608	27529
717	4613	27514
718	4619	27507
719	4624	27490
720	4628	27470
721	4643	27513
722	4658	27558
723	4666	27562
724	4683	27616
725	4688	27601
726	4691	27575
727	4694	27545
728	4698	27526
729	4702	27508
730	4710	27511
731	4714	27488
732	4718	27466
733	4720	27432
734	4723	27407
735	4730	27403
736	4740	27417
737	4742	27389
738	4745	27364
739	4748	27335
740	4750	27306
741	4755	27290
742	4763	27294
743	4767	27270
744	4770	27246
745	4776	27237
746	4780	27218
747	4783	27192
748	4786	27164
749	4788	27135
750	4796	27137
751	4799	27114
752	4803	27090
753	4827	27185
754	4831	27167
755	4836	27149
756	4842	27143
757	4867	27237
758	4870	27214
759	4876	27204
760	4879	27179
761	4884	27167
762	4888	27144
763	4893	27130
764	4899	27124
765	4907	27125
766	4930	27209
767	4933	27187
768	4936	27162
769	4944	27160
770	4955	27183
771	4959	27159
772	4962	27139
773	4965	27110
774	4968	27084
775	4971	27060
776	4971	27021
777	4975	27003
778	4988	27028
779	4992	27013
780	4997	26994
781	5002	26981
782	5007	26966
783	5013	26962
784	5020	26955
785	5028	26957
786	5041	26988
787	5052	27008
788	5058	26999
789	5070	27019
790	5075	27005
791	5079	26985
792	5082	26963
793	5084	26936
794	5090	26922
795	5096	26917
796	5100	26895
797	5108	26897
798	5110	26871
799	5113	26846
800	5120	26843
801	5129	26847
802	5137	26850
803	5142	26838
804	5145	26814
805	5148	26789
806	5151	26764
807	5157	26760
808	5164	26753
809	5168	26737
810	5172	26717
811	5178	26711
812	5180	26678
813	5187	26675
814	5193	26669
815	5202	26677
816	5206	26656
817	5209	26631
818	5212	26608
819	5217	26597
820	5233	26639
821	5239	26628
822	5243	26610
823	5247	26595
824	5255	26597
825	5264	26604
826	5268	26586
827	5271	26560
828	5274	26537
829	5277	26513
830	5286	26523
831	5292	26512
832	5295	26490
833	5298	26466
834	5300	26440
835	5303	26415
836	5317	26448
837	5322	26433
838	5327	26419
839	5329	26394
840	5330	26360
841	5332	26334
842	5335	26310
843	5339	26290
844	5350	26310
845	5355	26294
846	5358	26275
847	5363	26258
848	5368	26248
849	5380	26268
850	5387	26264
851	5387	26229
852	5390	26207
853	5396	26196
854	5400	26182
855	5415	26215
856	5424	26224
857	5427	26198
858	5430	26178
859	5434	26161
860	5437	26141
861	5441	26122
862	5445	26105
863	5452	26100
864	5458	26094
865	5472	26125
866	5484	26143
867	5494	26155
868	5508	26186
869	5513	26172
870	5518	26159
871	5521	26139
872	5527	26130
873	5532	26118
874	5535	26097
875	5541	26085
876	5546	26073
877	5550	26057
878	5553	26034
879	5570	26081
880	5576	26072
881	5580	26054
882	5584	26038
883	5595	26053
884	5607	26074
885	5610	26053
886	5613	26029
887	5615	26004
888	5625	26014
889	5631	26004
890	5633	25981
891	5642	25987
892	5643	25955
893	5645	25930
894	5650	25914
895	5654	25899
896	5657	25878
897	5658	25848
898	5662	25829
899	5671	25837
900	5674	25815
901	5677	25792
902	5690	25816
903	5694	25801
904	5698	25784
905	5702	25766
906	5703	25738
907	5706	25718
908	5709	25695
909	5712	25676
910	5716	25657
911	5721	25645
912	5724	25623
913	5729	25612
914	5733	25598
915	5737	25581
916	5747	25589
917	5750	25568
918	5752	25547
919	5768	25581
920	5771	25560
921	5786	25592
922	5790	25579
923	5795	25566
924	5806	25581
925	5811	25569
926	5825	25596
927	5830	25582
928	5852	25645
929	5855	25623
930	5857	25601
931	5859	25577
932	5862	25552
933	5867	25543
934	5871	25527
935	5878	25522
936	5881	25501
937	5887	25497
938	5890	25474
939	5893	25452
940	5897	25439
941	5902	25425
942	5906	25410
943	5909	25392
944	5911	25365
945	5915	25351
946	5919	25332
947	5920	25306
948	5925	25295
949	5930	25282
950	5934	25267
951	5938	25249
952	5948	25261
953	5949	25233
954	5958	25236
955	5982	25308
956	5991	25310
957	5995	25298
958	6008	25317
959	6011	25297
960	6015	25281
961	6025	25291
962	6030	25280
963	6040	25291
964	6044	25273
965	6046	25251
966	6054	25251
967	6058	25237
968	6062	25220
969	6065	25201
970	6070	25188
971	6073	25167
972	6075	25145
973	6081	25139
974	6085	25120
975	6089	25105
976	6097	25107
977	6099	25082
978	6103	25068
979	6106	25049
980	6115	25055
981	6120	25043
982	6122	25021
983	6126	25005
984	6129	24983
985	6132	24963
986	6134	24942
987	6137	24921
988	6141	24905
989	6148	24905
990	6165	24941
991	6169	24925
992	6174	24915
993	6178	24900
994	6181	24880
995	6184	24862
996	6192	24862
997	6195	24842
998	6200	24831
999	6210	24840
1000	6216	24833
1001	6217	24808
1002	6221	24792
1003	6230	24796
1004	6233	24779
1005	6240	24774
1006	6243	24758
1007	6256	24778
1008	6258	24756
1009	6261	24735
1010	6268	24732
1011	6274	24725
1012	6277	24707
1013	6281	24690
1014	6284	24672
1015	6287	24655
1016	6292	24644
1017	6299	24641
1018	6305	24632
1019	6308	24613
1020	6311	24598
1021	6314	24578
1022	6317	24558
1023	6319	24537
1024	6320	24513
1025	6323	24492
1026	6331	24491
1027	6341	24501
1028	6348	24499
1029	6352	24486
1030	6358	24478
1031	6362	24463
1032	6363	24438
1033	6366	24420
1034	6376	24429
1035	6381	24416
1036	6400	24459
1037	6410	24469
1038	6414	24455
1039	6427	24472
1040	6439	24490
1041	6442	24473
1042	6445	24454
1043	6448	24434
1044	6456	24436
1045	6462	24430
1046	6465	24410
1047	6468	24393
1048	6472	24377
1049	6475	24361
1050	6478	24342
1051	6484	24333
1052	6489	24325
1053	6492	24305
1054	6495	24288
1055	6499	24273
1056	6502	24256
1057	6505	24238
1058	6508	24220
1059	6514	24212
1060	6516	24191
1061	6521	24180
1062	6525	24168
